GroupID,RowOrder,PXD,SampleGroup,Category,Source,ReferenceKey,SampleSelection,EvidenceStatus,AssayAndUnits,Limitations,EvidenceURL,AnalysisReady
KLA31_01,1,PXD033146,pathological rotator cuff tendon,normal_tissue,GSE236746,torn_tendon_nondiabetic,GSM7574837;GSM7574838;GSM7574839,material_verified,human bulk mRNA; FPKM,非糖尿病撕裂肩袖肌腱；不是健康肌腱。排除糖尿病组；核对慢性病理和原蛋白样本背景。,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236746,FALSE
KLA31_02,2,PXD036307,normal human lung,normal_tissue,GTEx_v8,GTEx_v8_Lung,Lung; sample IDs pending,cohort_candidate,bulk polyA; counts/TPM,固定v8及样本属性；供体排除标准和最终n待核对，不能声称全部健康无创伤。,https://gtexportal.org/home/downloads/adult-gtex/bulk_tissue_expression,FALSE
KLA31_03,3,PXD046800,hypertrophic scar,normal_tissue,GSE178411,GSE178411_HTS,hypertrophic scar; GSM list pending,material_verified,human bulk; gene counts,只取增生性瘢痕；排除普通伤口及瘢痕成熟阶段不符者；供体与治疗史待锁定；已过滤counts不能直接充当全基因分母。,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178411,FALSE
KLA31_04,4,PXD046800,adjacent skin,normal_tissue,GSE178411,GSE178411_uninjured_skin,uninjured skin; GSM list pending,approximate,human bulk; gene counts,未损伤皮肤并不等于同患者瘢痕邻近皮肤；必须查取材部位/配对信息，未证实前只作外部背景。,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178411,FALSE
KLA31_05,5,PXD050470,human hippocampus,normal_tissue,GTEx_v8,GTEx_v8_Hippocampus,Brain - Hippocampus; sample IDs pending,cohort_candidate,bulk polyA; counts/TPM,固定v8；核对年龄、死亡和神经疾病排除条件；不沿用197例声明。,https://gtexportal.org/home/downloads/adult-gtex/bulk_tissue_expression,FALSE
KLA31_06,6,PXD063047,normal pregnancy placenta,normal_tissue,GSE114691,GSE114691_control_placenta,GSM3147325-GSM3147345; gestational-age filter pending,material_verified,human bulk; count matrix; hg19,21个control为初始候选，不等于21个足月；核对孕周、产式和胎盘取材层；排除PE/IUGR。,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114691,FALSE
KLA31_07,7,PXD064912,human sperm,normal_tissue,GSE40181,GSE40181_sperm_mRNA,GSM987942;GSM987943,material_verified,human bulk mRNA; RPKM; raw SRA,仅两个供体mRNA库；排除smallRNA GSM987944/45；处理表有RPKM阈值，建议原始reads重定量并检查精子纯度。,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40181,FALSE
KLA31_08,8,PXD066054,BPH,normal_tissue,GSE132714,GSE132714_BPH,GSM3890639-GSM3890656; clinical filter pending,material_verified,human bulk polyA/riboZero; RPKM,18个BPH候选；核对治疗和移行区信息。处理表基因名不能直接分析，优先raw reads以Ensembl重定量；不同建库需分层。,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132714,FALSE
KLA31_09,9,PXD075377,adjacent liver,normal_tissue,TCGA-LIHC,TCGA_LIHC_normal,Solid Tissue Normal; donor/file UUID pending,cohort_candidate,GDC bulk RNA; STAR counts/TPM,癌旁独立队列；不是GTEx健康肝；与HCC参考可配对需以caseID确认；去除重复aliquot。,https://portal.gdc.cancer.gov/projects/TCGA-LIHC,FALSE
KLA31_10,10,PXD064038,MEC and NEC ESCC groups,cancer_tissue,TCGA-ESCA,TCGA_ESCA_ESCC,Primary Tumor AND squamous histology; UUID pending,cohort_candidate,GDC bulk RNA; STAR counts/TPM,只保留ESCC而非EAC；MEC/NEC状态并未匹配；需实际临床治疗字段，不用01A推断未经治疗。,https://portal.gdc.cancer.gov/projects/TCGA-ESCA,FALSE
KLA31_11,11,PXD066054,prostate cancer,cancer_tissue,TCGA-PRAD,TCGA_PRAD_primary,Primary Tumor; UUID pending,cohort_candidate,GDC bulk RNA; STAR counts/TPM,核对组织学、术前治疗和独立病例；不预填499例。,https://portal.gdc.cancer.gov/projects/TCGA-PRAD,FALSE
KLA31_12,12,PXD075377,HCC,cancer_tissue,TCGA-LIHC,TCGA_LIHC_primary,Primary Tumor; UUID pending,cohort_candidate,GDC bulk RNA; STAR counts/TPM,核对HCC组织学及治疗；不预填371例；与本项目蛋白组不是同受试者。,https://portal.gdc.cancer.gov/projects/TCGA-LIHC,FALSE
KLA31_13,14,PXD060185,MCF7,cancer_cells,DepMap,DepMap_MCF7,ACH-000019,model_id_verified,bulk; release/expression file pending,MCF7身份核实；固定同一release、Model及OmicsProfiles后才能锁定表达行和是否log2(TPM+1)。,https://depmap.org/portal/cell_line/ACH-000019,FALSE
KLA31_14,15,PXD028488,HCT116,cancer_cells,DepMap,DepMap_HCT116,ACH-000971,model_id_verified,bulk; release/expression file pending,HCT116身份核实；与另外两组共享RNA参照，不构成三份独立转录组。,https://depmap.org/portal/cell_line/ACH-000971,FALSE
KLA31_15,16,PXD053474,HCT116,cancer_cells,DepMap,DepMap_HCT116,ACH-000971,model_id_verified,bulk; release/expression file pending,同一HCT116外部基线；全细胞RNA不能视为亚细胞分画匹配。,https://depmap.org/portal/cell_line/ACH-000971,FALSE
KLA31_16,17,PXD066351,HCT116 control and Roseburia co-culture,cancer_cells,DepMap,DepMap_HCT116,ACH-000971,model_id_verified,bulk; release/expression file pending,只代表外部基线；不能代表Roseburia共培养，蛋白组混合条件保持原状。,https://depmap.org/portal/cell_line/ACH-000971,FALSE
KLA31_17,18,PXD028488,TALL-104,cancer_cells,GSE163787,GSE163787_TALL104,GSM4987488; SRX9725233,material_verified,TruSeq Stranded mRNA bulk; FPKM,真正bulk子系列，不是混合细胞scRNA伪bulk；仅一个TALL104库，不能估计组内生物变异；混合物种参考需只取人类Ensembl。,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163787,FALSE
KLA31_18,19,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,DepMap,DepMap_HepG2,ACH-000739,model_id_verified,bulk; release/expression file pending,修正原ACH-000657；外部亲本基线不匹配SIRT1/3 KO。,https://depmap.org/portal/cell_line/ACH-000739,FALSE
KLA31_19,20,PXD054919,A549,cancer_cells,DepMap,DepMap_A549,ACH-000681,model_id_verified,bulk; release/expression file pending,模型ID正确；原备用ENCODE指向H1应移除。,https://depmap.org/portal/cell_line/ACH-000681,FALSE
KLA31_20,21,PXD060185,MDA-MB-468,cancer_cells,DepMap,DepMap_MDAMB468,ACH-000849,model_id_verified,bulk; release/expression file pending,MDA-MB-468模型ID核实；固定release及表达profile。,https://depmap.org/portal/cell_line/ACH-000849,FALSE
KLA31_21,22,PXD060185,T-47D,cancer_cells,DepMap,DepMap_T47D,ACH-000147,model_id_verified,bulk; release/expression file pending,修正原ACH-000934；亲本癌细胞并不意味着所有基因野生型。,https://depmap.org/portal/cell_line/ACH-000147,FALSE
KLA31_22,23,PXD063266,PC-3M,cancer_cells,GSE143451,GSE143451_PC3M1E8_scramble,GSM4259672;GSM4259673;GSM4259674,exact_match_gap,human bulk; PC-3M-1E8 derivative,仅近似候选：PC-3M-1E8且scrambled载体对照，不是未经转染PC-3M。严格精确匹配仍缺；PC3不能顶替。,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143451,FALSE
KLA31_23,24,PXD070007,glioblastoma stem cells,cancer_cells,GSE119834,GSE119834_GSC,44 GSC RNA libraries; GSM list pending,approximate,human bulk; FPKM,GSC群体独立模型面板；需核对G2907/G3028/G3264/GSC23/MES28/RKI；系列GSC23序号不能证明同一细胞模型。,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE119834,FALSE
KLA31_24,25,PXD078013,RKO WT and GSK3B KO,cancer_cells,DepMap,DepMap_RKO,ACH-000943,model_id_verified,bulk; release/expression file pending,修正原ACH-000742；外部基线不能代表GSK3B KO。,https://depmap.org/portal/cell_line/ACH-000943,FALSE
KLA31_25,28,PXD028488,HEK293T,normal_cells,GSE203529,GSE203529_HEK293T_WT,GSM6175912; additional replicates pending,material_verified,human bulk stranded mRNA; RSEM TPM/FPKM,该样本为HEK293T WT untreated；排除IFN及基因扰动；HEKTE或HEK293不可自动当293T。,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203529,FALSE
KLA31_26,29,PXD028737,HMC3,normal_cells,GSE275256,GSE275256_HMC3_vehicle,GSM8473662;GSM8473663;GSM8473664,material_verified,human bulk polyA; STAR counts/TPM; GENCODE40,vehicle基线；排除SLO。是HMC3永生化模型而非原代小胶质。,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275256,FALSE
